AIC,ZIP,AUTHORITY
L5HM,60486,STADT FRANKFURT AM MAIN
L5HM,60322,Stadt Frankfurt am Main Die Oberbürgermeisterin 
L5HM,65933,Stadt Frankfurt am Main Die Oberbürgermeisterin 
L5TK,61191,STADT ROSBACH V.D.HÖHE
L5M1,61389,GEMEINDE SCHMITTEN
L5MR,63450,STADT HANAU
L5LC,64546,STADT MÖRFELDEN-WALLDORF
L5LK,65428,STADT RÜSSELSHEIM
L338,67071,STADTVERWALTUNG LUDWIGSHAFEN AM RHEIN
L322,67240,BOBENHEIM-ROXHEIM
L8WT,68307,STADT MANNHEIM
L8WK,69124,STADT HEIDELBERG
L86M,70176,LANDESHAUPTSTADT STUTTGART
L8GV,70825,STADT KORNTAL-MÜNCHINGEN
L8F9,71563,GEMEINDE AFFALTERBACH
L9K5,72116,STADT MÖSSINGEN
L893,72622,STADT NÜRTINGEN
L8CL,73035,STADT GÖPPINGEN BÜRGERBÜRO
L88F,73728,STADT ESSLINGEN AM NECKAR
L8LJ,74613,STADT ÖHRINGEN
L8RY,76137,STADT KARLSRUHE
L971,77654,STADT OFFENBURG
L95Y,77767,BÜRGERMEISTERAMT APPENWEIER
L9CZ,78465,STADT KONSTANZ
L933,79106,FREIBURG IM BREISGAU
L959,79341,BÜRGERMEISTERAMT KENZINGEN
LF08,81679,Landeshauptstadt München
LF08,80803,Landeshauptstadt München
LF9H,82049,GEMEINDE <br> PULLACH I. ISARTAL
LFFG,83620,GEMEINDE FELDKIRCHEN-WESTERHAM
LFCX,85283,MARKT WOLNZACH MARKTPLATZ  1 85283 WOLNZACH
LF5R,85375,GDE NEUFAHRN B. FREISING
LF8Y,85748,STADT GARCHING B. MÜNCHEN
LF30,85757,GEMEINDE KARLSFELD
LGN6,86156,STADT AUGSBURG
LGR3,89420,VG HÖCHSTÄDT A. D. DONAU
LG6M,90478,STADT NÜRNBERG
LG68,90765,STADT FÜRTH
LG9F,91207,STADT LAUF A.D.PEGNITZ
LFYG,93089,VG SÜNCHING
LFY9,93128,MARKT REGENSTAUF
LG5T,95173,STADT SCHÖNWALD
